materials-id,composition,target
278,Ti1 W1 O3,FALSE
279,Ru1 Pb1 O3,FALSE
280,Pr1 Tl1 O3,FALSE
281,Nd1 Sn1 O3,FALSE
282,In1 As1 O3,FALSE
283,Gd1 Ho1 O3,FALSE
284,Tm1 Ta1 O3,FALSE
285,Tm1 Au1 O3,FALSE
286,Sm1 Pt1 O3,FALSE
287,Cs1 Ta1 O3,FALSE
288,Ta1 Cd1 O3,FALSE
289,Re1 Ag1 O3,FALSE
290,Lu1 Ir1 O3,FALSE
291,Y1 Ho1 O3,FALSE
292,Hg1 Pt1 O3,FALSE
293,Co1 Re1 O3,FALSE
294,Pr1 Tm1 O3,FALSE
295,Sm1 As1 O3,FALSE
296,Ti1 Ir1 O3,FALSE
297,Pr1 Cd1 O3,FALSE
298,Gd1 Er1 O3,FALSE
299,Tl1 In1 O3,FALSE
300,Sm1 Tm1 O3,FALSE
301,Sc1 Ga1 O3,FALSE
302,Sc1 Ru1 O3,FALSE
303,Nb1 Hg1 O3,FALSE
304,Co1 Mo1 O3,TRUE
305,Ag1 Mo1 O3,TRUE
306,Sm1 Nb1 O3,FALSE
307,Ti1 Os1 O3,FALSE
308,Ca1 Pd1 O3,FALSE
309,Dy1 Er1 O3,FALSE
310,Pm1 Sm1 O3,FALSE
311,Cr1 Pb1 O3,TRUE
312,Tb1 Dy1 O3,FALSE
313,Sr1 Fe1 O3,TRUE
314,Ca1 Os1 O3,FALSE
315,Pm1 Eu1 O3,FALSE
316,K1 Mo1 O3,TRUE
317,Ti1 Pd1 O3,FALSE
318,Ga1 Sb1 O3,FALSE
319,Dy1 Hf1 O3,FALSE
320,Tm1 In1 O3,FALSE
321,Eu1 Y1 O3,FALSE
322,Ce1 Pr1 O3,FALSE
323,Ag1 Sn1 O3,FALSE
324,Rh1 Pb1 O3,FALSE
325,Pr1 Gd1 O3,FALSE
326,Ho1 Tl1 O3,FALSE
327,Nd1 Re1 O3,FALSE
328,Tb1 Eu1 O3,FALSE
329,Ca1 Re1 O3,FALSE
330,Nd1 Ir1 O3,FALSE
331,Dy1 Tl1 O3,FALSE
332,Ta1 Au1 O3,FALSE
333,Tb1 La1 O3,FALSE
334,Pm1 Co1 O3,TRUE
335,Ce1 Pm1 O3,FALSE
336,Al1 Mo1 O3,TRUE
337,Nd1 Os1 O3,FALSE
338,Dy1 Er1 O3,FALSE
339,Tb1 Ho1 O3,FALSE
340,In1 Ru1 O3,FALSE
341,Nb1 Pb1 O3,FALSE
342,Pm1 Sm1 O3,FALSE
343,Lu1 Ag1 O3,FALSE
344,Pr1 Sb1 O3,FALSE
345,Er1 Lu1 O3,FALSE
346,Nd1 Pd1 O3,FALSE
347,Gd1 Ru1 O3,FALSE
348,Y1 Ho1 O3,FALSE
349,Eu1 Tm1 O3,FALSE
350,Nd1 Y1 O3,FALSE
351,Ho1 Er1 O3,FALSE
352,Tb1 Nd1 O3,FALSE
353,Dy1 Pb1 O3,FALSE
354,Er1 Sb1 O3,FALSE
355,Tb1 Ho1 O3,FALSE
356,Lu1 Mo1 O3,TRUE
357,Pm1 Ru1 O3,FALSE
358,Ti1 Re1 O3,FALSE
359,In1 Co1 O3,TRUE
360,Sm1 Tc1 O3,FALSE
361,Eu1 As1 O3,FALSE
362,Tb1 Au1 O3,FALSE
363,Tb1 Ta1 O3,FALSE
364,Tc1 Hg1 O3,FALSE
365,Tm1 Mn1 O3,TRUE
366,Y1 Au1 O3,FALSE
367,Y1 Ta1 O3,FALSE
368,Hg1 Rh1 O3,FALSE
369,Mn1 V1 O3,TRUE
370,Cd1 Re1 O3,FALSE
371,Cr1 Bi1 O3,FALSE
372,Tm1 Re1 O3,FALSE
373,Sm1 Dy1 O3,FALSE
374,Pm1 Er1 O3,FALSE
375,Ni1 Sb1 O3,FALSE
376,Pm1 Er1 O3,FALSE
377,Cs1 W1 O3,TRUE
378,Sm1 Dy1 O3,FALSE
379,Ho1 Ru1 O3,FALSE
380,Ho1 Ga1 O3,FALSE
381,La1 Nd1 O3,FALSE
382,Fe1 Ru1 O3,FALSE
383,Ce1 Ho1 O3,FALSE
384,Zr1 Hg1 O3,FALSE
385,Pr1 Pm1 O3,FALSE
386,Hg1 Sb1 O3,FALSE
387,Sc1 Ni1 O3,TRUE
388,Sm1 Zr1 O3,FALSE
389,Tb1 Pm1 O3,FALSE
390,Pr1 Nd1 O3,FALSE
391,Pd1 Rh1 O3,FALSE
392,Y1 Er1 O3,FALSE
393,Dy1 Pt1 O3,FALSE
394,Mn1 Re1 O3,FALSE
395,Ba1 Re1 O3,FALSE
396,Cr1 Re1 O3,FALSE
397,La1 Ta1 O3,FALSE
398,Gd1 Tl1 O3,FALSE
399,Mn1 Ir1 O3,TRUE
400,Ce1 Ir1 O3,FALSE
401,Cr1 Ir1 O3,FALSE
402,Er1 As1 O3,FALSE
403,Ca1 Pr1 O3,FALSE
404,Tl1 Ir1 O3,FALSE
405,La1 Lu1 O3,FALSE
406,Pm1 Tl1 O3,FALSE
407,Eu1 Sb1 O3,FALSE
408,Pm1 Ni1 O3,TRUE
409,Mn1 Os1 O3,FALSE
410,Tb1 Ag1 O3,FALSE
411,Ba1 Os1 O3,FALSE
412,Er1 Nb1 O3,FALSE
413,Mo1 Au1 O3,TRUE
414,Cr1 Os1 O3,FALSE
415,Tm1 Pd1 O3,FALSE
416,Cd1 Pd1 O3,FALSE
417,Pm1 Fe1 O3,TRUE
418,Y1 Ag1 O3,FALSE
419,Ce1 Dy1 O3,FALSE
420,Eu1 Zr1 O3,FALSE
421,Er1 Tm1 O3,FALSE
422,Mn1 Pd1 O3,TRUE
423,Dy1 Ga1 O3,FALSE
424,Dy1 Ru1 O3,FALSE
425,Co1 W1 O3,TRUE
426,Cr1 Pd1 O3,TRUE
427,Tm1 Os1 O3,FALSE
428,Ho1 Lu1 O3,FALSE
429,Pr1 Nb1 O3,FALSE
430,Ce1 Pd1 O3,FALSE
431,In1 Ni1 O3,TRUE
432,Sr1 W1 O3,TRUE
433,Ba1 Pd1 O3,TRUE
434,Tb1 Mo1 O3,TRUE
435,Tl1 Pd1 O3,FALSE
436,Y1 Mo1 O3,TRUE
437,Eu1 Dy1 O3,FALSE
438,Sm1 Ho1 O3,FALSE
439,Cd1 Os1 O3,FALSE
440,Tm1 Ir1 O3,FALSE
441,Sm1 Mg1 O3,FALSE
442,Fe1 Pt1 O3,FALSE
443,Pr1 As1 O3,FALSE
444,Cd1 Ir1 O3,FALSE
445,Lu1 Ta1 O3,FALSE
446,Lu1 Au1 O3,FALSE
447,Ca1 Tc1 O3,FALSE
448,Dy1 Ta1 O3,FALSE
449,Dy1 Au1 O3,FALSE
450,Ir1 Pb1 O3,FALSE
451,Nd1 As1 O3,FALSE
452,Tm1 Zr1 O3,FALSE
453,Nd1 Nb1 O3,FALSE
454,Au1 I1 O3,FALSE
455,Fe1 Au1 O3,TRUE
456,Gd1 Mo1 O3,TRUE
457,Nd1 Dy1 O3,FALSE
458,Tb1 Pb1 O3,FALSE
459,Lu1 Ga1 O3,FALSE
460,Lu1 Ru1 O3,FALSE
461,Pm1 Mo1 O3,TRUE
462,Nd1 Tm1 O3,FALSE
463,Os1 Pb1 O3,FALSE
464,Ce1 Mg1 O3,FALSE
465,Ni1 Au1 O3,TRUE
466,Tm1 Sb1 O3,FALSE
467,Dy1 Ho1 O3,FALSE
468,Zr1 Cd1 O3,FALSE
469,Gd1 Ag1 O3,FALSE
470,Dy1 Tm1 O3,FALSE
471,Pd1 Pb1 O3,FALSE
472,Zn1 Ru1 O3,FALSE
473,Eu1 Os1 O3,FALSE
474,Pm1 Ag1 O3,FALSE
475,Tm1 Lu1 O3,FALSE
476,In1 Mo1 O3,TRUE
477,Lu1 Co1 O3,TRUE
478,Tb1 Tl1 O3,FALSE
479,Sm1 Re1 O3,FALSE
480,Dy1 W1 O3,TRUE
481,Ti1 Tc1 O3,FALSE
482,Ti1 Rh1 O3,FALSE
483,Eu1 Ho1 O3,FALSE
484,Co1 Bi1 O3,TRUE
485,Fe1 W1 O3,TRUE
486,La1 Dy1 O3,FALSE
487,Cd1 W1 O3,TRUE
488,Co1 Pt1 O3,FALSE
489,Ag1 Pt1 O3,FALSE
490,Eu1 Ir1 O3,FALSE
491,Re1 Hg1 O3,FALSE
492,Y1 Tl1 O3,FALSE
493,Hg1 Ir1 O3,FALSE
494,Eu1 Re1 O3,FALSE
495,Sm1 Ir1 O3,FALSE
496,Eu1 Dy1 O3,FALSE
497,La1 Ho1 O3,FALSE
498,Pm1 Nd1 O3,FALSE
499,Dy1 Y1 O3,FALSE
500,Hg1 Os1 O3,FALSE
501,Sm1 Os1 O3,FALSE
502,Tb1 Y1 O3,FALSE
503,Hg1 Pd1 O3,FALSE
504,Nd1 Ho1 O3,FALSE
505,Ag1 Ru1 O3,FALSE
506,Co1 Ru1 O3,FALSE
507,Y1 Er1 O3,FALSE
508,Sc1 Mo1 O3,TRUE
509,Sm1 Pd1 O3,FALSE
510,Tb1 Er1 O3,FALSE
511,Pr1 In1 O3,FALSE
512,Zn1 Pt1 O3,FALSE
513,Dy1 Te1 O3,FALSE
514,Pr1 Er1 O3,FALSE
515,Nd1 Tc1 O3,FALSE
516,Ho1 Au1 O3,FALSE
517,Ho1 Ta1 O3,FALSE
518,Ba1 W1 O3,TRUE
519,Tb1 Sc1 O3,FALSE
520,Mn1 Pb1 O3,TRUE
521,Tl1 As1 O3,FALSE
522,Gd1 Au1 O3,FALSE
523,Gd1 Ta1 O3,FALSE
524,Er1 Ir1 O3,FALSE
525,Pd1 Ir1 O3,FALSE
526,Co1 Au1 O3,TRUE
527,Pm1 Au1 O3,FALSE
528,Pm1 Ta1 O3,FALSE
529,Ce1 As1 O3,FALSE
530,Tb1 Ru1 O3,FALSE
531,Tm1 Tl1 O3,FALSE
532,Pm1 Ho1 O3,FALSE
533,Dy1 Mo1 O3,TRUE
534,Ce1 Nb1 O3,FALSE
535,Pm1 Nd1 O3,FALSE
536,Ce1 Y1 O3,FALSE
537,Pr1 Pd1 O3,FALSE
538,La1 Tb1 O3,FALSE
539,Y1 Ru1 O3,FALSE
540,Ce1 Y1 O3,FALSE
541,Ga1 Au1 O3,FALSE
542,Dy1 Ag1 O3,FALSE
543,Zn1 Pb1 O3,FALSE
544,Tm1 Nb1 O3,FALSE
545,Er1 Pd1 O3,FALSE
546,Nd1 Zr1 O3,FALSE
547,Lu1 Ni1 O3,TRUE
548,Gd1 Y1 O3,FALSE
549,Nb1 Cd1 O3,FALSE
550,Hf1 Ag1 O3,FALSE
551,Tb1 Ce1 O3,FALSE
552,Pr1 Hg1 O3,FALSE
553,Dy1 Sn1 O3,FALSE
554,Pr1 Ir1 O3,FALSE
555,Pr1 Sm1 O3,FALSE
556,Li1 Tc1 O3,FALSE
557,Tm1 As1 O3,FALSE
558,La1 Pm1 O3,FALSE
559,Ca1 W1 O3,TRUE
560,Cd1 Tc1 O3,FALSE
561,Cd1 Rh1 O3,FALSE
562,Tb1 Pt1 O3,FALSE
563,Pr1 Eu1 O3,FALSE
564,Hg1 W1 O3,TRUE
565,Tm1 Tc1 O3,FALSE
566,Fe1 Co1 O3,TRUE
567,Ho1 Ag1 O3,FALSE
568,V1 Pb1 O3,TRUE
569,Tb1 Lu1 O3,FALSE
570,Tb1 Sm1 O3,FALSE
571,Er1 Lu1 O3,FALSE
572,Ti1 Tl1 O3,FALSE
573,Pm1 Tm1 O3,FALSE
574,Ag1 Pb1 O3,FALSE
575,Ti1 Cr1 O3,TRUE
576,Ho1 Mo1 O3,TRUE
577,Sm1 Y1 O3,FALSE
578,Re1 Pd1 O3,FALSE
579,Tl1 Rh1 O3,FALSE
580,Sc1 Ta1 O3,FALSE
581,Mn1 Tc1 O3,FALSE
582,Cr1 Tc1 O3,FALSE
583,Mn1 Rh1 O3,TRUE
584,Ba1 Tc1 O3,FALSE
585,Pm1 Al1 O3,TRUE
586,Rb1 Mn1 O3,TRUE
